Cbc News,Canadian pharmacies are limiting how much medication can be dispensed to try to prevent shortages,2020-03-27 08:00:00,recognizing that most active ingredients for drugs come from India and China and medical supply chains have been disrupted by the spread of COVID-19.,Coronavirus a wake-up call for Canadas prescription drug supply,Canadian pharmacies are limiting how much medication can be dispensed to try to prevent shortages
The Canadian Press,2020-03-08 09:40:00,Calif.,The captain of a cruise ship hit by the new coronavirus has informed the passengers,Coronavirus-stricken Grand Princess cleared to dock in Oakland,which include 237 Canadians
Cbc News,Tim Hortons says it is getting rid of Roll Up the Rim cups due to the novel coronavirus and is moving much of the annual contest to its app.,2020-03-07 22:47:00,Tim Hortons says it is getting rid of Roll Up the Rim cups due to the novel coronavirus and is moving much of the annual contest online. The coffee-and-doughnut chain is removing all of the contests paper cups over health concerns around staff handling items recently gripped and sipped by customers who are returning them for prizes. Tim Hortons does not identify COVID-19 as the catalyst,Tim Hortons scraps Roll Up the Rim contest cups amid coronavirus fears,but said in a news release Saturday
Cbc News,2020-03-07 09:00:00,quarantines,From Mecca to Wuhan to Japans Disneyland,Before and after: World landmarks empty amid coronavirus closures,satellite photos show the impact of coronavirus closures and quarantines on some landmarks.
"",Post secondary schools in Waterloo region say they have been closely monitoring any developments of COVID-19 and have taken several steps to protect students and staff. Waterloo region confirmed its first case of COVID-19 Thursday.,2020-03-08 10:00:00,From additional hand-sanitizing stations to handshake-free convocations,A handshake-free convocation and sanitizing stations: How local universities are responding to coronavirus, Conestoga College
Cbc News,2020-03-26 20:01:00,prompting closures of store and Pacific Place Mall,An employee at T&T Supermarket in the Pacific Place Mall in northeast Calgary has been confirmed to have COVID-19,T&T Supermarket employee gets COVID-19,so all staff have been sent home to self-isolate and the store has closed for deep cleaning.
"",2020-03-06 18:54:00,activates provincial pandemic co-ordination plan,B.C. is ramping up its response to the coronavirus outbreak,B.C. ramps up coronavirus response,appointing a deputy ministers committee and opening four new testing labs to address the spread in the province.
Reporter Editor,Specializes In Offbeat,First At The Regina Leader-Post Then The Saskatoon Starphoenix. He Has Been With Cbc Manitoba Since,Local History Stories,Darren Bernhardt Spent The First Dozen Years Of His Journalism Career In Newspapers,Features. Story Idea
"",2020-03-06 13:19:00,finance minister says,Finance Minister Bill Morneau says support is coming for Canadians who have to be quarantined to prevent the spread of the novel coronavirus. The Liberal government will also increase the risk adjustment provision — also known as a contingency fund — in the upcoming budget,Support coming for Canadians quarantined due to coronavirus,he said.
Cbc News,No cases of the coronavirus have yet emerged in elementary or secondary schools in Canada,2020-03-08 08:00:00,but its certainly possible that a student or teacher could become infected. CBC News looks at the ramifications if a case of COVID-19 materializes in a Canadian school.,What happens if a case of coronavirus emerges at a Canadian school?,In Canada
Cbc News,Stay up to date on the coronavirus outbreak and what it means for Canadians.,2020-02-10 23:22:00,The latest:  Death toll in China passes 1,What you need to know now about coronavirus: 2nd evacuation plane lands at CFB Trenton,000 — 42
Cbc News,2020-03-13 02:07:00,Burton Cummings Theatre amid fears of coronavirus,True North Sports and Entertainment is cancelling some upcoming events due to avoid the risk of spreading the novel coronavirus,True North cancels events at Bell MTS Place,the organization announced Thursday.
"",2020-03-07 01:44:00,postponed as coronavirus spreads,West Vancouvers annual Nowruz festival has been cancelled over the threat of coronavirus while a fundraising gala for B.C. Childrens Hospital Foundation is indefinitely postponed.,Were in uncharted territories: Some events cancelled,Fear over the spread of coronavirus in British Columbia has led to the cancellation of at least one major event
The Associated Press,Democratic presidential candidate Joe Biden calls for a sweeping national response to the coronavirus outbreak,2020-03-12 19:05:00,chiding U.S. President Donald Trump for a response he said was woefully insufficient and warning that the widening public health crisis should not be viewed through a lens of politics.,Ill always tell you the truth: Biden calls for national response to coronavirus outbreak,U.S. Democratic presidential candidate Joe Biden on Thursday called for a sweeping national response to the coronavirus outbreak
Thomson Reuters,The Louvre in Paris reopened on Wednesday after it was forced to close for three days as staff walked out saying they were concerned about catching the coronavirus from visitors.,2020-03-04 17:09:00,The Louvre in Paris reopened on Wednesday after it was forced to close for three days,Louvre museum reopens after staff walkout over coronavirus fears,as staff walked out saying they were concerned about catching the coronavirus from visitors. The museum had been closed since Sunday as staff exercised their right to stay at home under French legislation
"",The Whitehorse 2020 Arctic Winter Games have been cancelled due to concerns about novel coronavirus.,2020-03-07 22:04:00,The Whitehorse 2020 Arctic Winter Games have been cancelled due to concerns about the novel coronavirus. There was no scenario under which we felt it was safe to conduct the Arctic Winter Games,Shocked and disappointed: Arctic Winter Games cancelled due to coronavirus concerns,said an emotional Dr. Catherine Elliott
Reporter,Ideas Welcomed At Guy.Quenneville Cbc.Ca,Story Tips,Follow Guy On Twitter,Web Writer For Cbc Saskatoon,Still 0 confirmed coronavirus cases in Sask. after latest week of testing
Cbc News,amid coronavirus fears,including massive SXSW festival,2020-03-07 21:19:00,Manitoba musicians face show cancellations abroad,A group of Manitoba musicians are feeling the impact of COVID-19 outbreaks abroad as shows and festivals are being cancelled over public health concerns.
Cbc News,The Ontario Ministry of Health confirms six new cases of COVID-19,2020-03-06 12:33:00,bringing the provinces total to 28,6 more positive cases of COVID-19 discovered in Ontario,with four resolved cases.
Reporter,Ideas Welcomed At Guy.Quenneville Cbc.Ca,Story Tips,Follow Guy On Twitter,Web Writer For Cbc Saskatoon,Still 0 confirmed coronavirus cases in Sask. after latest week of testing
Cbc News,amid coronavirus fears,including massive SXSW festival,2020-03-07 21:19:00,Manitoba musicians face show cancellations abroad,A group of Manitoba musicians are feeling the impact of COVID-19 outbreaks abroad as shows and festivals are being cancelled over public health concerns.
Cbc News,The Ontario Ministry of Health confirms six new cases of COVID-19,2020-03-06 12:33:00,bringing the provinces total to 28,6 more positive cases of COVID-19 discovered in Ontario,with four resolved cases.
Medical Science,Current Affairs,Has Spent Years Reporting On A Wide Range Of National News,With A Particular Interest In Science,Kelly Crowe Is A Science Correspondent For Cbc News. She Joined Cbc In,Provincial borders wont be barriers for doctors if coronavirus hits some areas worse than others
Cbc News,Albertas chief medical officer of health has announced a second presumptive case of COVID-19 in the province,2020-03-06 22:43:00,this time in the Edmonton health zone.,Presumptive case of COVID-19 reported in Edmonton,Albertas chief medical officer of health has announced a second presumptive case of COVID-19 in the province
Cbc News,Ontario health officials have confirmed a new case of COVID-19,2020-02-24 13:00:00,the disease caused by the novel coronavirus,4th case of coronavirus in Ontario confirmed,the fourth in the province since the global outbreak began late last year.
Cbc News,Ontario has seen a sharp increase in the number of coronavirus cases under investigation,2020-03-04 15:52:00,although the number of confirmed cases remains the same on Wednesday.,Ontario now investigating 102 people for potential exposure to coronavirus,Ontario has seen a sharp increase in the number of coronavirus cases under investigation
Cbc News,The Thames Valley District School Board has cancelled all school trips to mainland Europe in March in response to the worldwide coronavirus outbreak,2020-03-03 20:19:00,CBC News has learned.,Coronavirus prompts TVDSB to cancel 8 school trips to Europe,The Thames Valley District School Board (TVDSB) has cancelled eight school trips to mainland Europe scheduled for March Break in response to the worldwide coronavirus outbreak
Cbc News,Wedding experts in Ottawa are warning clients about potential difficulties in receiving items for their big day because of the coronavirus outbreak.,2020-02-21 09:00:00,Wedding experts in Ottawa are warning clients about potential difficulties in receiving items for their big day because of the coronavirus outbreak. Some bridal stores that rely on Chinese suppliers say theyre starting to experience delays in receiving stock,Wedding planners warning of delays due to coronavirus,and  that could worsen if shipments out of China are further restricted. In past years
"",Christina Merrin says it was a post on social media that got her family thinking about stocking up on basics as the new cases of the coronavirus emerge in Ontario.,2020-03-06 10:00:00,Sudburys Christina Merrin says it was a post on social media that got her family thinking about stocking up on basics as new cases of the coronavirus emerge in Ontario.  Ive seen a post recently about Costco,Sudburians not rushing to stockpile despite coronavirus concerns,people are taking pictures of shelves being emptied out
"",2020-03-04 23:19:00,officials announce,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital.,B.C.s 13th coronavirus patient in critical condition,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital. Provincial health officer Dr. Bonnie Henry said the woman had recently returned from travel in India and Hong Kong
"",A University of Saskatchewan research team and scientists from across the country have been awarded 1 million dollars to develop animal models and test vaccine candidates to find a vaccine for COVID-19.,2020-03-07 02:56:00,A University of Saskatchewan research team and scientists from across the country have been awarded 1 million over two years to develop animal models and test vaccine candidates to find a vaccine for COVID-19. The project is being led by the University of Saskatchewans Vaccine and Infectious Disease Organization-International Vaccine Centre (VIDO-InterVac),VIDO-InterVac awarded 1 million to develop coronavirus vaccine,and is part of a rapid research funding initiative
Cbc News,Eight days after his government released a fiscal plan that called for a balanced budget by 2022/23,2020-03-06 22:06:00,Alberta Premier Jason Kenney says the global economic downturn linked to the spread of coronavirus could have already put that plan in jeopardy.,Coronavirus impact on global economy may jeopardize Albertas balanced-budget plans: Kenney,Eight days after his government released a fiscal plan that called for a balanced budget by 2022/23
"",Christina Merrin says it was a post on social media that got her family thinking about stocking up on basics as the new cases of the coronavirus emerge in Ontario.,2020-03-06 10:00:00,Sudburys Christina Merrin says it was a post on social media that got her family thinking about stocking up on basics as new cases of the coronavirus emerge in Ontario.  Ive seen a post recently about Costco,Sudburians not rushing to stockpile despite coronavirus concerns,people are taking pictures of shelves being emptied out
Cbc News,Eight days after his government released a fiscal plan that called for a balanced budget by 2022/23,2020-03-06 22:06:00,Alberta Premier Jason Kenney says the global economic downturn linked to the spread of coronavirus could have already put that plan in jeopardy.,Coronavirus impact on global economy may jeopardize Albertas balanced-budget plans: Kenney,Eight days after his government released a fiscal plan that called for a balanced budget by 2022/23
Thomson Reuters,Costco Wholesale Corp. said on Thursday concerns over the coronavirus outbreak have prompted customers to stock up on essentials,2020-03-06 16:06:00,including disinfectants,Costco sales surge 11% as coronavirus fear prompts stockpiling,forcing the warehouse operator to replenish certain items frequently.
Cbc News,Read More Articles David Cochrane,Follow David Cochrane On Twitter,Federal budget will focus on coronavirus response,David Cochrane Is A Senior Reporter In CbcS Parliamentary Bureau. He Previously Wrote For Cbc Newfoundland,climate change
"",While Steven Shen waits for the panic to subside in China’s Guangdong province,2020-03-06 18:51:00,his wife Nancy Lin confronts fear of the COVID-19 in Yellowknife.,Yellowknife couple faces coronavirus on both sides of the world,It was supposed to be a retirement vacation.  Steven Shen travelled to Asia with a Yellowknife couple
"",Some local travel agencies are reporting a decline in cruise vacation bookings and an increase in cancellations over fears caused by the coronavirus outbreak.,2020-02-20 16:00:00,Some local travel agencies are reporting a decline in cruise vacation bookings and an increase in cancellations over fears caused by the coronavirus outbreak. Katherine Le,Coronavirus fears putting a damper on cruise bookings,president of Ottawa-based Eastview Travel
"",2020-03-05 22:40:00,including 1 of unknown origin,British Columbia has identified eight more presumptive cases of the novel coronavirus,8 more cases of COVID-19 identified in B.C.,including one involving a woman who has no recent travel history.
Cbc Investigative Journalist,Abroad,Politics At Home,Reporting Dozens Of Countries. He Has Also Written Extensively About Sports,Jonathon Gatehouse Has Covered News,Covering Seven Olympic Games
Paul Withers Is An Award-Winning Journalist Whose Career Started In The As A Cartoonist. He Has Been Covering Nova Scotia Politics For More Than Years.,With the live lobster market currently halted in China,2020-03-05 10:00:00,it comes as no surprise that North Americas largest shellfish producer,Coronavirus takes bite out of Clearwaters seafood sales to China,Clearwater Seafoods
"",Businesses in British Columbia are bracing for an economic downturn as global trade sputters with the on-going spread of coronavirus,2020-03-05 00:15:00,with industries from manufacturing to tourism all impacted.,Businesses in B.C. feeling the pinch of coronavirus outbreak on global markets,Businesses in British Columbia are bracing for an economic downturn as global trade sputters with the ongoing spread of the novel coronavirus
Cbc News,As COVID-19 continues to spread around the world,2020-03-26 21:49:00,some people who used to live in Sudbury are now adjusting to a new life in hard hit areas.,Former Sudburians living abroad reflect on COVID-19 pandemic,As COVID-19 continues to spread around the world
Alex Soloducha Is A Reporter For Cbc Saskatchewan.,2020-03-03 21:04:00,but fearful patients could fill hospitals: psychologist,A University of Regina psychology professor says fear of coronavirus could lead to full emergency rooms in the province.,Risk of coronavirus remains low in Sask.,While there have been no reported cases of the coronavirus in Saskatchewan so far
Thomson Reuters,Australias major grocers put strict limits on purchases of toilet paper on Wednesday after a rush of panic buying related to coronavirus fears emptied shelves,2020-03-04 11:11:00,as the country recorded its third case of local transmission of the disease.,Australian stores ration toilet paper amid coronavirus panic buying,Australias major grocers put strict limits on purchases of toilet paper on Wednesday after a rush of panic buying related to coronavirus fears emptied shelves
"",2020-03-26 20:07:00,Quebec City transit agencies reduce services as ridership plummets,With Metro and bus traffic down 75 to 80 per cent due to the COVID-19 outbreak,Montreal,public transit agencies in Montreal and Quebec City will strategically reduce service
"",Businesses in British Columbia are bracing for an economic downturn as global trade sputters with the on-going spread of coronavirus,2020-03-05 00:15:00,with industries from manufacturing to tourism all impacted.,Businesses in B.C. feeling the pinch of coronavirus outbreak on global markets,Businesses in British Columbia are bracing for an economic downturn as global trade sputters with the ongoing spread of the novel coronavirus
Alex Soloducha Is A Reporter For Cbc Saskatchewan.,2020-03-03 21:04:00,but fearful patients could fill hospitals: psychologist,A University of Regina psychology professor says fear of coronavirus could lead to full emergency rooms in the province.,Risk of coronavirus remains low in Sask.,While there have been no reported cases of the coronavirus in Saskatchewan so far
Thomson Reuters,Australias major grocers put strict limits on purchases of toilet paper on Wednesday after a rush of panic buying related to coronavirus fears emptied shelves,2020-03-04 11:11:00,as the country recorded its third case of local transmission of the disease.,Australian stores ration toilet paper amid coronavirus panic buying,Australias major grocers put strict limits on purchases of toilet paper on Wednesday after a rush of panic buying related to coronavirus fears emptied shelves
Cbc News,The Ontario Medical Association is propping up virtual video calling with physicians to diagnose patients without putting more people at risk of infection from COVID-19.,2020-03-04 21:09:00,The Ontario Medical Association says it and the provincial government are urgently encouraging physicians to join the provinces telemedicine network as the coronavirus spreads. Among a range of online services,Coronavirus prompts OMA to urgently ask doctors to join virtual medicine network,the network enables conference calls
"",Seven more people in B.C. have tested positive for the coronavirus,2020-03-11 21:54:00,bringing B.C.s total to 46.,7 new cases of coronavirus found in B.C. as top doctor calls for increased social distancing,Seven more people in B.C. have tested positive for the coronavirus
Cbc News,2020-03-05 15:33:00,bringing total to 23 in province,Ontario health officials are confirming 3 more cases of novel coronavirus,Ontario confirms 3 new cases of coronavirus,on the same day they revealed another person has recovered from the illness.
"",2020-03-04 23:19:00,officials announce,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital.,B.C.s 13th coronavirus patient in critical condition,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital. Provincial health officer Dr. Bonnie Henry said the woman had recently returned from travel in India and Hong Kong
"",2020-03-04 23:19:00,officials announce,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital.,B.C.s 13th coronavirus patient in critical condition,A 13th presumptive case of novel coronavirus has been identified in B.C. The patient is a woman in her 80s who is in critical condition at Vancouver General Hospital. Provincial health officer Dr. Bonnie Henry said the woman had recently returned from travel in India and Hong Kong
"",Stores in Charlottetown are running low on hand sanitizer as people brace for the potential of coronavirus arriving in P.E.I.,2020-03-04 23:42:00,Stores in Charlottetown are running low on hand sanitizer as people brace for the potential of coronavirus arriving in P.E.I. A-1 Vacuum manager Paul Thomson says he started Wednesday with 156 units of sanitizer,Charlottetown low on hand sanitizer as people brace for coronavirus,and hes now sold out.  People are looking for hand sanitizers
Cbc News,Concerns about coronavirus are causing a sales run on a number of supplies in Windsor-Essex pharmacies,2020-03-06 18:04:00,and even though there have been no cases of COVID-19 in the area,Essex pharmacist dispels myths of coronavirus for concerned customers, one pharmacy owner said his customers are worried.
Cbc News,As interest and fears surrounding the spread of COVID-19 has increased over the past number of weeks,2020-03-05 04:14:00,so has the number of Albertans seeking to stock up on essentials.,This isnt the zombie apocalypse: Doctor shares tips on preparing for coronavirus,As interest and fears surrounding the spread of COVID-19 has increased over the past number of weeks
Thomson Reuters,2020-03-05 20:04:00,Poloz says,The Canadian economys resilience could be seriously tested by a coronavirus outbreak,More rate cuts possible if coronavirus impact worsens,depending on its severity and duration
Sarah Leavitt Is A Journalist With Cbc Montreal.,2020-03-25 19:38:00,Homeless Montrealers tested for COVID-19 will be housed in hotel for now,After a homeless man was left to wander the streets while awaited the result of his coronavirus test,Follow Sarah On Twitter,Montreals public health authority has come up with a temporary measure to isolate people in his situation until the old Royal Victoria Hospital is ready for them.
The Canadian Press,2020-03-01 17:42:00,daughter says,A Quebec couple that contracted the novel coronavirus aboard the Diamond Princess cruise ship will be coming home after testing negative for the virus,Gatineau couple who got coronavirus on cruise ship to come home,their daughter says.
The Associated Press,Taking dramatic action,2020-03-12 01:09:00,U.S. President Donald Trump sharply restricted passenger travel from 26 European nations to the United States and moved to ease the economic cost of a viral pandemic that is roiling global financial markets and disrupting the daily lives of Americans.,Trump sharply restricts travel between Europe and U.S. for 30 days amid coronavirus pandemic,Taking dramatic action
Reporter Editor,N.B. coronavirus roundup: Gatherings of 150 or more should be postponed,Elizabeth.Fraser Cbc.Ca,top doctor says,Elizabeth Fraser Is A Reporter Editor With Cbc New Brunswick Based In Fredericton. SheS Originally Manitoba. Story Tip,2020-03-12 16:32:00
Cbc News,School trips are often the highlight of a student’s year but concerns about the coronavirus are quashing some of those highly-anticipated travel plans among students across academic levels in the northeast. A number of upcoming international trips planned for students have been cancelled at the high school,2020-03-06 11:00:00,and post-secondary levels.,Coronavirus concerns ground March break travel dreams for students in the north,School trips are often the highlight of a students year but concerns about the coronavirus are quashing some of those highly-anticipated travel plans among students across academic levels in the northeast. A number of upcoming international trips planned for students have been cancelled at the high school
"",Starbucks,2020-03-05 14:21:00,The Second Cup and Tim Hortons are temporarily forbidding customers from bringing their own reusable mugs because of fears that they could help spread the coronavirus.,Fears of coronavirus contamination prompt coffee chains to temporarily ban reusable mugs,Starbucks
Winnipeg Free Press,As Indigenous communities brace for the COVID-19 epidemic,2020-03-07 17:03:00,Manitoba researchers will be doing real-time research on how leaders respond,U of M profs get 1M to research First Nations coronavirus response,and what they can learn from past outbreaks. That’s thanks to 1 million in federal funds unveiled Friday for two University of Manitoba projects.
The Associated Press,2020-03-01 06:34:00,Thailand report 1st COVID-19 deaths as coronavirus continues global spread,Coronavirus cases surged in Italy,Australia,and France closed the world-famous Louvre Museum as the epidemic that began in China hit more than 60 countries and the death toll worldwide reached at least 3
"",2020-03-06 23:29:00,premiers to talk coronavirus and blockades at first ministers gathering,The COVID-19 outbreak and the fallout from the recent rail blockades will lead the agenda when provincial premiers sit down with Prime Minister Justin Trudeau next week in Ottawa.,Trudeau,The COVID-19 outbreak and the fallout from the recent rail blockades will lead the agenda when provincial premiers sit down with Prime Minister Justin Trudeau next week in Ottawa. CBC News has seen a draft agenda of Fridays meeting that shows the morning sessions will start with a discussion on coronavirus followed by a discussion on disruption to Canadas rail service due to recent Indigenous-led protests.  The first ministers are also expected to sit down with Indigenous leaders on Thursday for a planned two-hour discussion. Multiple sources tell CBC News that Canadas Chief Public Health Officer Dr. Theresa Tam is expected to brief the first ministers on the latest information about the viruss spread in Canada. Multiple premiers offices tell CBC News that they want to focus the discussion on the real and lasting economic impacts of both the virus and the blockades. Next Fridays agenda also includes sessions on the economy
"",2020-03-05 21:52:00,500 passengers on cruise ship quarantined over coronavirus fears,A cruise ship that has been quarantined off the coast of California by public health officials over fears of a possible COVID-19 outbreak includes 235 Canadian passengers,235 Canadians among 3,Global Affairs Canada has confirmed.
"",Two Ottawa high schools have had a once-in-a-lifetime humanitarian trip to a Caribbean orphanage cancelled over concerns students and staff could contract COVID-19 on their travels.,2020-03-05 20:00:00,Two Ottawa high schools have had a once-in-a-lifetime humanitarian trip to a Caribbean orphanage cancelled over concerns students and staff could contract COVID-19 on their travels. About 20 students from Collège catholique Mer Bleue and Collège catholique Franco-Ouest were scheduled to visit the Dominican Republic over March Break. They were preparing to depart March 14,School trip to Dominican orphanage cancelled over coronavirus fears,and return to Ottawa eight days later. But on Tuesday
Cbc News,In Canada,2020-03-05 09:00:00,so far,How Canada will cope with community transmission of the coronavirus,all cases of COVID-19 have been traced to areas where an outbreak has occurred. But federal Health Minister Patty Hajdu warned Wednesday that eventually this is likely something that well see in one of our communities. Heres what that would mean for the country.
Cbc News,Officials say the latest case is a woman in her 60s visiting from Iran.,2020-02-29 17:22:00,Health officials in B.C. have announced the provinces 8th case of coronavirus,B.C. health officials announce provinces 8th case of coronavirus,a woman visiting the province from Tehran
Cbc News,Senior care homes in British Columbia are closely monitoring the coronavirus outbreak as some facilities struggle to buy supplies of masks,2020-03-03 22:17:00,gloves and sanitizer.,Senior care homes in B.C. struggle to buy face masks amid coronavirus fears,Senior care homes in British Columbia are closely monitoring the coronavirus outbreak as some facilities struggle to buy supplies of masks
Cbc News,Approximately 25 St. Thomas of Villanova Catholic High School students were scheduled to travel to Italy and Greece between March 11 and March 21.,2020-03-03 20:13:00,Students at a LaSalle Catholic high school wont be going on an upcoming trip to Europe this month,LaSalle Catholic high school cancels Euro trip over coronavirus fears,due to concerns about the global coronavirus outbreak. Approximately 25 St. Thomas of Villanova Catholic High School students were scheduled to travel to Italy and Greece between March 11 and March 21.  WHO warns shortages leave health workers dangerously ill-equipped to fight COVID-19CBC IN ITALYMilan at a standstill: Life in a city when coronavirus fears take over Stephen Fields
Cbc News,Approximately 25 St. Thomas of Villanova Catholic High School students were scheduled to travel to Italy and Greece between March 11 and March 21.,2020-03-03 20:13:00,Students at a LaSalle Catholic high school wont be going on an upcoming trip to Europe this month,LaSalle Catholic high school cancels Euro trip over coronavirus fears,due to concerns about the global coronavirus outbreak. Approximately 25 St. Thomas of Villanova Catholic High School students were scheduled to travel to Italy and Greece between March 11 and March 21.  WHO warns shortages leave health workers dangerously ill-equipped to fight COVID-19CBC IN ITALYMilan at a standstill: Life in a city when coronavirus fears take over Stephen Fields
"",2020-03-06 18:08:00,but top doctor says arrival quite probable,Dr. Robert Strang says there have been no cases of COVID-19 found in Nova Scotia,Zero coronavirus cases in N.S.,but plans are in the works among the health-care system and all levels of government to handle a possible outbreak.
"",Torontos largest organizations,2020-03-03 01:10:00,agencies and businesses are stepping up their response as more COVID-19 cases are being confirmed across the GTA in recent days.,How some of Torontos biggest organizations are handling the coronavirus,Torontos largest organizations
Cbc News,A seventh person in Ontario has tested positive for coronavirus,2020-02-28 16:13:00,health officials said Friday.,Ontarios 7th case of coronavirus reported in man who travelled to Iran,A seventh person in Ontario has tested positive for coronavirus
Cbc News,2020-03-04 00:15:00,leaving N.L. companies stalled,One of the worlds largest seafood shows,Coronavirus delays Boston seafood expo,slated for mid-March
Cbc News,The City of Windsor announced on Thursday that Transit Windsor services will be temporarily suspended as of end of normal hours on Sunday,2020-03-26 19:30:00,March 29,City of Windsor suspends transit operations starting March 29,as an additional step to combat the spread of COVID-19.
The Canadian Press,2020-03-02 22:23:00,premier says,Alberta Premier Jason Kenney says its difficult to watch global oil prices fall due to reduced demand tied to the novel coronavirus outbreak at the same time his government refocuses its efforts on job creation.,Coronavirus yet another challenge thrown at Alberta,Alberta Premier Jason Kenney says its difficult to watch global oil prices fall due to reduced demand tied to the novel coronavirus outbreak while his government refocuses its efforts on job creation. I wont hide it: it frustrates me that I think were doing everything that we reasonably can to get this economy moving again
Brian Rodgers Is A Videojournalist,2020-03-26 22:44:00,Asthma medication being rationed in Sask. because of unprecedented demand,Saskatchewans Ministry of Health is asking pharmacists to limit the amount of asthma medication they give to patients. The province says theres been an unprecedented increase in demand for inhalers since COVID-19 came to Canada.,Producer With Cbc Saskatchewan.,Saskatchewans Ministry of Health is asking pharmacists to limit the amount of asthma medication they give to patients. The province said theres been an unprecedented increase in demand for inhalers since COVID-19 came to Canada. The ministry is directing pharmacists to only give out a months supply of medication to patients
"",The Ottawa Hospital is asking staff to limit themselves to two surgical masks per shift as it prepares for an anticipated influx of patients with COVID-19.,2020-03-26 21:03:00,The Ottawa Hospital is asking staff to limit themselves to two surgical masks per shift as it prepares for an anticipated influx of patients with COVID-19. In a memo sent to all hospital staff Wednesday evening,Ottawa Hospital rationing surgical masks to avoid shortage,CEO Jack Kitts said the new policy follows discussions with the Ontario government and other hospitals in the province. Our review was guided by the principle that changes must consider the impact on staff safety
Joe Tunney Reports For Cbc News In Ottawa. He Can Be Reached At Joe.Tunney Cbc.Ca,Back on Canadian soil after being flown out of Chinas Hubei province,2020-02-14 16:53:00,some of the more than 400 evacuees waiting out their coronavirus quarantine in Trenton,Coronavirus evacuees raising money for Red Cross,Ont.
Thomson Reuters,China reported a dramatic drop in new cases in the province at the heart of the coronavirus outbreak. Meanwhile,2020-02-20 01:22:00,efforts are underway to bring home Canadians previously quarantined aboard a cruise ship in Japan.,China reports dramatic drop in coronavirus cases,The latest:   New infections fall to 349 in Hubei province
Andrea Bellemare Is A Reporter,Privacy.,Tech,She Helped Launch The New Cbc Kitchener-Waterloo Radio Station In,Producer With Cbc News Who Currently Focuses On Disinformation,Reported For Cbc Montreal
"",2020-03-12 13:57:00,now back to where it was in 2016,The Toronto Stock Exchange had its biggest one-day decline ever on Thursday as the fear that has gripped stock markets in recent weeks shows no signs of abating.,TSX falls by 12%,The Toronto Stock Exchange had its biggest one-day decline ever on Thursday as the fear that has gripped stock markets in recent weeks showed no signs of abating. The S&P/TSX Composite Index fell by 1761 points to 12
"",2020-03-12 13:57:00,now back to where it was in 2016,The Toronto Stock Exchange had its biggest one-day decline ever on Thursday as the fear that has gripped stock markets in recent weeks shows no signs of abating.,TSX falls by 12%,The Toronto Stock Exchange had its biggest one-day decline ever on Thursday as the fear that has gripped stock markets in recent weeks showed no signs of abating. The S&P/TSX Composite Index fell by 1761 points to 12
The Associated Press,As fears about the coronavirus outbreak roiled financial markets,2020-03-09 21:07:00,U.S. political leaders grappled Monday with a public health and economic maelstrom — as well as concerns for their own safety.,U.S. political leaders deal with fallout — and self-quarantine — in face of coronavirus outbreak,As fears about the coronavirus outbreak roiled financial markets
Shane Magee Is A Moncton-Based Reporter For Cbc.,The company that operates the Caribou underground mine near Bathurst has stopped production for the foreseeable future,2020-03-26 14:03:00,laying off most of its 250 employees and 80 contractors.,Caribou mine near Bathurst halts production,The company that operates the Caribou underground mine near Bathurst has stopped production for the foreseeable future
Jonathan Montpetit Is A Journalist With Cbc Montreal.,is Quebecs budget of the future out of sync with the present?,With little to say on coronavirus,2020-03-11 08:00:00,Follow Him On Twitter,It’s a budget that is almost silent on a global outbreak and ambivalent about emission reductions. Is the Quebec government playing it cool or tone deaf to what’s happening?
Thomson Reuters,2020-02-13 11:10:00,000 more coronavirus cases reported in China,Health authorities reported 116 new deaths from coronavirus in Chinas Hubei province on Thursday — less than half the number reported the previous day.,Almost 6,The latest:   Coronavirus case numbers rise by almost 6
"",Dr. Zain Chagla,2020-03-04 16:46:00,infectious disease physician at St. Joseph’s Healthcare Hamilton,9 things to know about the coronavirus: CBC asked an infectious disease specialist,answered your questions and comments about the coronavirus outbreak.
Holly Conners Is A Reporter,Its gonna have a financial impact: Cape Breton lobster industry concerned about coronavirus,Contact Her At Holly.Conners Cbc.Ca.,2020-03-02 21:42:00,Current Affairs Producer Who Has Been With Cbc Cape Breton Since,People working in the lobster industry in Cape Breton are concerned about how the coronavirus could impact prices this spring. People in China staying home and avoiding restaurants would create less demand for product from Canada.
The Canadian Press,Some Canadians planning overseas trips are being told by their employers to self-quarantine for weeks upon return in an effort to minimize the spread of a novel form of coronavirus.,2020-03-04 16:17:00,Some Canadians planning overseas trips are being told by their employers to self-quarantine for weeks upon return in an effort to minimize the spread of a novel form of coronavirus. Manulife Financial Corp. told The Canadian Press on Tuesday that it is requiring employees who have visited China,Some Canadian companies ask staff to self-quarantine after travelling due to coronavirus fears,South Korea
